id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
260,130,261,54,46,3885080,1000,1,1000,144
261,130,260,46,54,263475920,1000,1,1000,144
262,131,263,66,109,6904984,1000,1,1000,144
263,131,262,109,66,93095016,1000,1,1000,144
264,132,265,63,109,9633180,0,1,1000,144
265,132,264,109,63,90366820,1000,1,1000,144
266,133,267,87,110,179292405,1,8,1,64
267,133,266,110,87,1820707595,1000,1,1000,144
268,134,269,87,109,11851812,1,8,1,64
269,134,268,109,87,150148188,1000,1,1000,144
270,135,271,111,10,13653031,1000,1,1000,144
271,135,270,10,111,134311969,1000,1,1000,144
272,136,273,87,112,2142300,1,8,1,64
273,136,272,112,87,22857700,1000,1,1000,144
274,137,275,87,76,15211546,1,8,1,64
275,137,274,76,87,234788454,1000,1,1000,144
276,138,277,87,6,9399944,1,8,1,64
277,138,276,6,87,90600056,49,10,1000,144
278,139,279,54,113,2718500,1000,1,1000,144
279,139,278,113,54,41780500,1000,1,1000,144
280,140,281,54,114,1630664,1000,1,1000,144
281,140,280,114,54,18369336,1000,1,1000,144
282,141,283,109,17,14594089,1000,1,1000,144
283,141,282,17,109,185405911,100,1,1000,144
284,142,285,109,77,7266006,1000,1,1000,144
285,142,284,77,109,292733994,1000,1700,1000,30
286,143,287,87,115,768931523,1,8,1,64
287,143,286,115,87,9231068477,1000,1,1000,144
288,144,289,54,116,14559917,1000,1,1000,144
289,144,288,116,54,485440083,1000,1,1000,144
290,145,291,117,4,13582291,1000,10,1000,14
291,145,290,4,117,304417709,1000,1,1000,144
292,146,293,118,119,6806788,1000,1,1000,144
293,146,292,119,118,116199212,490,1,1000,144
294,147,295,54,120,76498633,1000,1,1000,144
295,147,294,120,54,1123501367,1000,1,1000,144
296,148,297,121,46,12303832,1000,1,1000,144
297,148,296,46,121,487696168,1000,1,1000,144
298,149,299,122,87,981668,475,250,1000,144
299,149,298,87,122,299018332,1,8,1,64
300,150,301,9,109,7162971,1000,1,1000,144
301,150,300,109,9,192837029,1000,1,1000,144
302,151,303,123,4,59544998,1000,1,1000,144
303,151,302,4,123,1543214002,1000,1,1000,144
304,152,305,116,109,4818906,1000,1,1000,144
305,152,304,109,116,205106094,1000,1,1000,144
306,153,307,87,124,2257897,1,8,1,64
307,153,306,124,87,297742103,1000,1,1000,144
308,154,309,87,125,2140044,1,19,1,40
309,154,308,125,87,197859956,1000,100,1,144
310,155,311,46,126,4498627,1000,1,1000,144
311,155,310,126,46,43501373,1000,1,1000,144
312,156,313,127,46,33816053,1000,1,1000,144
313,156,312,46,127,366183947,1000,1,1000,144
314,157,315,54,127,2871828,1000,1,1000,144
315,157,314,127,54,285844172,1000,1,1000,144
316,158,317,127,46,31241150,1000,1,1000,144
317,158,316,46,127,368758850,1000,1,1000,144
318,159,319,127,46,2627394,1000,1,1000,144
319,159,318,46,127,397372606,1000,1,1000,144
320,160,321,127,46,4910633,1000,1,1000,144
321,160,320,46,127,395089367,1000,1,1000,144
322,161,323,115,128,3210823,1000,1,1000,144
323,161,322,128,115,46789177,500,1,1000,14
324,162,325,46,109,13042372,1000,1,1000,144
325,162,324,109,46,186957628,1000,1,1000,144
326,163,327,127,115,14257531,1000,1,1000,144
327,163,326,115,127,385742469,1000,1,1000,144
328,164,329,58,129,8611393,1000,1,1000,144
329,164,328,129,58,91388607,1000,100,1000,144
330,165,331,54,33,11635061,1000,1,1000,144
331,165,330,33,54,214952939,0,0,1000,40
332,166,333,129,130,2080187,1000,100,1000,144
333,166,332,130,129,97919813,1,1,1000,40
334,167,335,40,108,10400777,1000,1900,1000,144
335,167,334,108,40,189599223,1000,1,1000,144
336,168,337,131,8,3942854,1000,1,1000,144
337,168,336,8,131,82884146,200,1,1000,40
338,169,339,132,2,252244,1000,1000,1000,40
339,169,338,2,132,29747756,0,1000,1000,18
340,170,341,46,24,21584592,1000,1,1000,144
341,170,340,24,46,228415408,800,1,1000,144
342,171,343,115,108,769327,1000,1,1000,144
343,171,342,108,115,199230673,1000,1,1000,144
344,172,345,76,77,90553332,1000,1,1000,144
345,172,344,77,76,909446668,1000,1700,1000,30
346,173,347,24,75,28624198,800,1,1000,144
347,173,346,75,24,271375802,1000,1,1000,144
348,174,349,33,77,391067514,0,0,1000,40
349,174,348,77,33,4608932486,1000,1700,1000,30
350,175,351,46,33,277841961,1000,1,1000,144
351,175,350,33,46,4722158039,0,0,1000,40
352,176,353,54,133,2605791,1000,1,1000,144
353,176,352,133,54,74118209,1000,1,1000,144
354,177,355,46,93,11003490,1000,1,1000,144
355,177,354,93,46,288996510,1000,1,1000,144
356,178,357,54,131,49,1000,1,1000,144
357,178,356,131,54,23401951,1000,1,1000,144
358,179,359,134,24,525744,1000,10,1000,14
359,179,358,24,134,19474256,800,10,1000,144
360,180,361,134,46,1074362,1000,10,1000,14
361,180,360,46,134,18925638,1000,1,1000,144
362,181,363,54,129,9641102,1000,1,1000,144
363,181,362,129,54,90358898,1000,100,1000,144
364,182,365,87,135,16142741,1,19,1,40
365,182,364,135,87,183857259,1000,10,1,14
366,183,367,136,10,1096344,1000,1,1000,144
367,183,366,10,136,18903656,1000,1,1000,144
368,184,369,136,109,900622,1000,1,1000,144
369,184,368,109,136,19099378,1000,1,1000,144
370,185,371,87,137,3813200,1,8,1,64
371,185,370,137,87,41622800,1000,1,1000,144
372,186,373,10,108,12825345,1000,1,1000,144
373,186,372,108,10,187174655,1000,1,1000,144
374,187,375,4,108,8001463,1000,1,1000,144
375,187,374,108,4,191998537,1000,1,1000,144
376,188,377,40,108,1341285,1000,1900,1000,144
377,188,376,108,40,198658715,1000,1,1000,144
378,189,379,24,108,12898673,800,1,1000,144
379,189,378,108,24,187101327,1000,1,1000,144
380,190,381,87,108,8853233,1,8,1,64
381,190,380,108,87,191146767,1000,1,1000,144
382,191,383,10,108,764996,1000,1,1000,144
383,191,382,108,10,199235004,1000,1,1000,144
384,192,385,138,33,749970,1000,1,1000,144
385,192,384,33,138,28432030,0,0,1000,40
386,193,387,54,139,21840003,1000,1,1000,144
387,193,386,139,54,217676997,489,1000,1000,144
388,194,389,54,24,23322613,1000,1,1000,144
389,194,388,24,54,476677387,800,1,1000,144
390,195,391,24,77,28938998,800,1000,1000,144
391,195,390,77,24,471061002,1000,1700,1000,30
392,196,393,54,140,15509273,1000,1,1000,144
393,196,392,140,54,263704727,1,1,1000,10
394,197,395,46,137,3176969,1000,1,1000,144
395,197,394,137,46,96823031,1000,1,1000,144
396,198,397,141,49,16074199,1000,100,1000,144
397,198,396,49,141,283925801,100,100,1000,144
398,199,399,54,142,1064309,1000,1,1000,144
399,199,398,142,54,18935691,1000,1,1000,144
400,200,401,54,143,325424,1000,1,1000,144
401,200,400,143,54,49674576,1000,10,1000,14
402,201,403,87,144,14888512,1,19,1,40
403,201,402,144,87,385111488,1000,10,1,14
404,202,405,54,144,877245,1000,1,1000,144
405,202,404,144,54,399122755,1000,10,1000,14
406,203,407,46,145,10132870,1000,1,1000,144
407,203,406,145,46,489867130,1000,100,1000,144
408,204,409,43,119,5893562,1,1,1000,4
409,204,408,119,43,86261438,490,1,1000,144
410,205,411,139,58,838765224,489,1000,1000,144
411,205,410,58,139,9161234776,1000,1,1000,144
412,206,413,54,107,144738994,1000,1,1000,144
413,206,412,107,54,16629997006,1000,1,1000,144
414,207,415,146,87,1503605,950,1,1,14
415,207,414,87,146,98496395,1,19,1,40
416,208,417,147,2,25611237,1000,1,1000,144
417,208,416,2,147,374266763,0,1000,1000,9
418,209,419,148,63,771866,1000,1,1000,144
419,209,418,63,148,19228134,0,1,1000,144
420,210,421,148,63,2925416,1000,1,1000,144
421,210,420,63,148,27074584,0,1,1000,144
422,211,423,148,63,2224915,1000,1,1000,144
423,211,422,63,148,27775085,0,1,1000,144
424,212,425,148,63,1851035,1000,1,1000,144
425,212,424,63,148,18148965,0,1,1000,144
426,213,427,148,63,3361237,1000,1,1000,144
427,213,426,63,148,37638763,0,1,1000,144
428,214,429,148,63,1157045,1000,1,1000,144
429,214,428,63,148,28842955,0,1,1000,144
430,215,431,54,149,1208969,1000,1,1000,144
431,215,430,149,54,18791031,1000,1,1000,144
432,216,433,87,149,17761759,1,8,1,64
433,216,432,149,87,182238241,1000,1,1000,144
434,217,435,149,130,1740510,1000,1,1000,144
435,217,434,130,149,18259490,1,1,1000,40
436,218,437,46,149,1565658,1000,1,1000,144
437,218,436,149,46,18434342,1000,1,1000,144
438,219,439,2,150,490162336,0,1000,1000,18
439,219,438,150,2,7509837664,99,1,1000,144
440,220,441,40,151,26420386,1000,1900,1000,144
441,220,440,151,40,473579614,2,2,1000,144
442,221,443,87,152,36380803,1,8,1,64
443,221,442,152,87,595121197,1000,1,1000,144
444,222,445,130,108,16162830,1,1,1000,40
445,222,444,108,130,183837170,1000,1,1000,144
446,223,447,87,108,9279526,1,8,1,64
447,223,446,108,87,190720474,1000,1,1000,144
448,224,449,8,108,10139179,200,1,1000,40
449,224,448,108,8,189860821,1000,1,1000,144
450,225,451,40,108,11969535,1000,1900,1000,144
451,225,450,108,40,188030465,1000,1,1000,144
452,226,453,33,108,6071055,0,0,1000,40
453,226,452,108,33,193928945,1000,1,1000,144
454,227,455,108,1,12797868,1000,1,1000,144
455,227,454,1,108,187202132,1000,1,1000,144
456,228,457,22,153,15704331,0,1,1000,144
457,228,456,153,22,484295669,1,1,1000,34
458,229,459,123,130,1218154953,1000,1,1000,144
459,229,458,130,123,11019042047,1,1,1000,40
460,230,461,54,154,3690415,1000,1,1000,144
461,230,460,154,54,146309585,1000,1,1000,144
462,231,463,54,155,52642,1000,1,1000,144
463,231,462,155,54,19947358,1000,1,1000,144
464,232,465,24,108,5775924,800,1,1000,144
465,232,464,108,24,194224076,1000,1,1000,144
466,233,467,139,108,18387597,489,1000,1000,144
467,233,466,108,139,181612403,1000,1,1000,144
468,234,469,46,45,65122321,1000,1,1000,144
469,234,468,45,46,934877679,1000,1,1000,144
470,235,471,156,48,116026090,1000,1,1000,144
471,235,470,48,156,3083973910,591,247,1000,144
472,236,473,10,108,17857050,1000,1,1000,144
473,236,472,108,10,182142950,1000,1,1000,144
474,237,475,157,116,10988082,1000,1,1000,144
475,237,474,116,157,989011918,1000,1,1000,144
476,238,477,40,108,15885376,1000,1900,1000,144
477,238,476,108,40,184114624,1000,1,1000,144
478,239,479,158,130,11341653,1000,1,1000,144
479,239,478,130,158,288658347,1,1,1000,40
480,240,481,46,158,35184310,1000,1,1000,144
481,240,480,158,46,464815690,1000,1,1000,144
482,241,483,159,58,4808072,1000,1,1000,144
483,241,482,58,159,95191928,1000,1,1000,144
484,242,485,160,161,19991740,490,10,0,14
485,242,484,161,160,241440260,431,1,0,14
486,243,487,2,162,4628290,0,1000,1000,9
487,243,486,162,2,43085710,500,13,1000,40
488,244,489,54,163,21732406,1000,1,1000,144
489,244,488,163,54,265608594,1000,650,1000,144
490,245,491,33,128,7010069,0,0,1,40
491,245,490,128,33,92989931,500,1,1000,14
492,246,493,54,164,1713912,1000,1,1000,144
493,246,492,164,54,18286088,1000,1,1000,144
494,247,495,165,24,10621880,1000,1,1,144
495,247,494,24,165,335056120,800,1,1000,144
496,248,497,54,166,20844743,1000,1,1000,144
497,248,496,166,54,241941257,1000,10,1000,14
498,249,499,54,164,11130914,1000,1,1000,144
499,249,498,164,54,246517086,1000,1,1000,144
500,250,501,150,162,563550,99,1,1000,144
501,250,500,162,150,22931450,500,13,1000,40
502,251,503,54,167,9682348,1000,1,1000,144
503,251,502,167,54,94957652,1000,1,1000,144
504,252,505,10,108,912189,1000,1,1000,144
505,252,504,108,10,199087811,1000,1,1000,144
506,253,507,139,108,16469540,489,1000,1000,144
507,253,506,108,139,183530460,1000,1,1000,144
508,254,509,49,119,10183878,100,100,1000,144
509,254,508,119,49,700466122,490,1,1000,144
510,255,511,60,108,16445769,100,10,1000,144
511,255,510,108,60,183554231,1000,1,1000,144
512,256,513,43,108,9468952,1,1,1000,4
513,256,512,108,43,190531048,1000,1,1000,144
514,257,515,46,165,8753232,1000,1,1000,144
515,257,514,165,46,91246768,1000,1,1000,144
516,258,517,168,8,620794,1000,20,1000,40
517,258,516,8,168,88456206,200,1,1000,40
518,259,519,13,63,8278175,1000,1000,1000,18
519,259,518,63,13,91721825,0,1,1000,144
520,260,521,150,40,301032473,99,1,1000,144
521,260,520,40,150,2998967527,1000,1900,1000,144
522,261,523,169,109,11057470,0,1,1000,144
523,261,522,109,169,372556530,1000,1,1000,144
524,262,525,54,108,13853893,1000,1,1000,144
525,262,524,108,54,186146107,1000,1,1000,144
526,263,527,8,108,11825213,200,1,1000,40
527,263,526,108,8,188174787,1000,1,1000,144
528,264,529,58,108,18524936,1000,1,1000,144
529,264,528,108,58,181475064,1000,1,1000,144
530,265,531,170,150,1830865,1000,1,1000,144
531,265,530,150,170,38169135,99,1,1000,144
532,266,533,24,171,4770810,800,10,1000,144
533,266,532,171,24,95229190,1000,10,1000,144
534,267,535,170,58,1510427,1000,1,1000,144
535,267,534,58,170,18489573,1000,1,1000,144
536,268,537,54,172,20923698,1000,1,1000,144
537,268,536,172,54,212834302,1000,100,1000,144
538,269,539,46,173,425948091,1000,1,1000,144
539,269,538,173,46,16349197909,1000,1,1000,144
540,270,541,174,54,13746385,1000,10,1000,14
541,270,540,54,174,286253615,1000,1,1000,144
542,271,543,174,16,7031811,1000,10,1000,14
543,271,542,16,174,242968189,0,1,0,144
544,272,545,175,8,634403,1000,1,1000,144
545,272,544,8,175,123931597,200,1,1000,40
546,273,547,87,176,620888,1,19,0,40
547,273,546,176,87,124379112,1000,10,1,14
548,274,549,95,177,796725661,1000,1,1,144
549,274,548,177,95,7203274339,0,0,1000,144
550,275,551,54,178,1790319,1000,1,1000,144
551,275,550,178,54,18209681,1000,10,1000,14
552,276,553,33,179,10312555,0,0,1,40
553,276,552,179,33,489687445,500,50,1000,14
554,277,555,115,180,36915735,1000,1,1000,144
555,277,554,180,115,763084265,1000,1,1000,144
556,278,557,128,40,414987011,500,1,1000,14
557,278,556,40,128,4949012989,1000,1900,1000,144
558,279,559,181,130,18197543,1000,1,1000,144
559,279,558,130,181,245283457,1,1,1000,40
560,280,561,54,182,26605000,1000,1,1000,144
561,280,560,182,54,273395000,1000,10,1000,14
562,281,563,150,183,29740060,99,1,1000,144
563,281,562,183,150,448233940,1000,1,1000,144
564,282,565,184,185,14331553,0,1000,1000,144
565,282,564,185,184,4985669447,1000,1,1000,144
566,283,567,160,186,61795102,490,10,0,14
567,283,566,186,160,1275204898,1,10,0,14
568,284,569,24,60,1591541,800,10,1000,144
569,284,568,60,24,88408459,100,10,1000,144
570,285,571,54,187,803564,1000,1,1000,144
571,285,570,187,54,19196436,1000,1,1000,144
572,286,573,54,188,2414444,1000,1,1000,144
573,286,572,188,54,67585556,0,10,1000,34
574,287,575,58,189,9051889,1000,1,0,144
575,287,574,189,58,216472111,1000,10,1000,14
576,288,577,130,190,353013425,1,1,1000,40
577,288,576,190,130,4651445575,1000,1,1000,144
578,289,579,54,191,15031256,1000,1,1000,144
579,289,578,191,54,267907744,1000,1,1000,144
580,290,581,58,192,6128577,1000,1,1000,144
581,290,580,192,58,93871423,10000,1000,1000,144
582,291,583,54,193,611070,1000,1,1000,144
583,291,582,193,54,249388930,250,1,1000,10
584,292,585,165,4,14950350,1000,1,1,144
585,292,584,4,165,135049650,1000,1,1,144
586,293,587,2,194,78776786,0,1000,1000,18
